dataset,model,dim,exp,acc
adult,Glove,100,0,0.8484770923982595
adult,w2v,100,0,0.8459175838239058
adult,Glove,100,0,0.8441259278218582
adult,w2v,100,1,0.8487717502558854
adult,Glove,100,1,0.8520982599795291
adult,w2v,100,1,0.8377686796315251
adult,Glove,100,1,0.853121801432958
adult,w2v,100,1,0.8490276356192425
adult,Glove,100,1,0.8449334698055271
adult,w2v,100,1,0.8400307141028922
adult,Glove,100,1,0.8484770923982595
adult,w2v,100,1,0.8246736626567699
adult,Glove,100,1,0.8326081392372664
adult,w2v,100,1,0.8356795495264909
adult,Glove,100,1,0.846685436396212
adult,w2v,100,1,0.8507806501151779
adult,Glove,100,1,0.8464294855387765
adult,w2v,100,1,0.8456616329664705
adult,Glove,100,1,0.8425902226772459
adult,w2v,100,1,0.8351676478116201
adult,Glove,100,1,0.8308164832352188
adult,w2v,100,1,0.8459175838239058
adult,Glove,100,1,0.8477092398259534
adult,w2v,100,2,0.8441658137154555
adult,Glove,100,2,0.8367451381780963
adult,w2v,100,2,0.8449334698055271
adult,Glove,100,2,0.8380245649948823
adult,w2v,100,2,0.8454452405322416
adult,Glove,100,2,0.8418628454452405
adult,w2v,100,2,0.8397747632454569
adult,Glove,100,2,0.8482211415408242
adult,w2v,100,2,0.8459175838239058
adult,Glove,100,2,0.8282569746608651
adult,w2v,100,2,0.8459175838239058
adult,Glove,100,2,0.8413104683900691
adult,w2v,100,2,0.8456616329664705
adult,Glove,100,2,0.8482211415408242
adult,w2v,100,2,0.8566675198361915
adult,Glove,100,2,0.837727156385974
adult,w2v,100,2,0.8413104683900691
adult,Glove,100,2,0.8451497312515996
adult,w2v,100,2,0.8420783209623752
adult,Glove,100,2,0.844637829536729
adult,w2v,100,3,0.849539406345957
adult,Glove,100,3,0.8454452405322416
adult,w2v,100,3,0.8513306038894575
adult,Glove,100,3,0.8298362333674514
adult,w2v,100,3,0.8326509723643808
adult,Glove,100,3,0.8375127942681678
adult,w2v,100,3,0.8525723061172255
adult,Glove,100,3,0.8313283849500895
adult,w2v,100,3,0.8382390581008446
adult,Glove,100,3,0.8136677757870489
adult,w2v,100,3,0.840542615817763
adult,Glove,100,3,0.8333759918095726
adult,w2v,100,3,0.8392628615305862
adult,Glove,100,3,0.8259534169439467
adult,w2v,100,3,0.8471973381110827
adult,Glove,100,3,0.827489122088559
adult,w2v,100,3,0.8425902226772459
adult,Glove,100,3,0.8420783209623752
adult,w2v,100,3,0.8482211415408242
adult,Glove,100,3,0.8418223701049399
adult,w2v,100,4,0.8393039918116684
adult,Glove,100,4,0.842374616171955
adult,w2v,100,4,0.8490276356192425
adult,Glove,100,4,0.8462128966223132
adult,w2v,100,4,0.8444216990788127
adult,Glove,100,4,0.8316274309109519
adult,w2v,100,4,0.8387509598157153
adult,Glove,100,4,0.8438699769644228
adult,w2v,100,4,0.8428461735346814
adult,Glove,100,4,0.8354235986690556
adult,w2v,100,4,0.8431021243921167
adult,Glove,100,4,0.8443818786792936
adult,w2v,100,4,0.8448937803941643
adult,Glove,100,4,0.840542615817763
adult,w2v,100,4,0.8589710775531098
adult,Glove,100,4,0.8428461735346814
adult,w2v,100,4,0.8477092398259534
adult,Glove,100,4,0.844637829536729
adult,w2v,100,4,0.8579472741233684
adult,Glove,100,4,0.8553877655490146
adult,w2v,100,5,0.8405834186284544
adult,Glove,100,5,0.8390481064483112
adult,w2v,100,5,0.8380245649948823
adult,Glove,100,5,0.8416069600818833
adult,w2v,100,5,0.8474923234390993
adult,Glove,100,5,0.84007164790174
adult,w2v,100,5,0.8441259278218582
adult,Glove,100,5,0.83849500895828
adult,w2v,100,5,0.8402866649603277
adult,Glove,100,5,0.8484770923982595
adult,w2v,100,5,0.8541080112618378
adult,Glove,100,5,0.8512925518300486
adult,w2v,100,5,0.8400307141028922
adult,Glove,100,5,0.8326081392372664
